epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
43,1947.19,1.53251,1.54682,1.169,1.07408,0,0.75113,0.77945,0.78207,0.38421,0.73879,0.7594,0.75009,0.25983,1.57513,1.48693,1.1934,1.12536,0,0.00197568,0.00197568,0.00197568
44,1984.37,1.53363,1.55209,1.18668,1.06569,0,0.70931,0.73684,0.76715,0.37768,0.71097,0.74185,0.75372,0.25451,1.55551,1.45874,1.22018,1.10531,0,0.00197476,0.00197476,0.00197476
45,2023,1.54183,1.50598,1.13886,1.07046,0,0.68732,0.77193,0.78399,0.39641,0.72557,0.74937,0.76194,0.26514,1.53047,1.45276,1.14406,1.11476,0,0.00197376,0.00197376,0.00197376
46,2060.58,1.52458,1.50596,1.1629,1.06338,0,0.67903,0.74761,0.7725,0.39157,0.7498,0.72855,0.80212,0.279,1.53182,1.45886,1.2754,1.12281,0,0.00197274,0.00197274,0.00197274
47,2097.45,1.52352,1.50865,1.11721,1.0635,0,0.74381,0.74949,0.79354,0.38596,0.75266,0.73977,0.78268,0.24858,1.60575,1.50314,1.11957,1.13676,0,0.00197171,0.00197171,0.00197171
48,2164.62,1.51687,1.47025,1.12066,1.06219,0,0.67589,0.79699,0.79574,0.40061,0.7246,0.73684,0.75936,0.2651,1.5575,1.48978,1.1003,1.12741,0,0.00197066,0.00197066,0.00197066
49,2201.78,1.5282,1.52654,1.16197,1.07493,0,0.71228,0.75075,0.75661,0.38001,0.7284,0.74609,0.75943,0.25524,1.55042,1.44376,1.17708,1.13455,0,0.00196879,0.00196879,0.00196879
50,2238.85,1.50397,1.50352,1.12624,1.05753,0,0.7254,0.74937,0.76744,0.38981,0.7326,0.75439,0.77529,0.26349,1.57716,1.50522,1.19204,1.15128,0,0.0019677,0.0019677,0.0019677
51,2275.97,1.50931,1.541,1.11111,1.06186,0,0.73944,0.74687,0.7899,0.39338,0.73793,0.75188,0.78385,0.26795,1.5714,1.45134,1.17053,1.13846,0,0.0019666,0.0019666,0.0019666
52,2319.2,1.51763,1.53489,1.11513,1.05585,0,0.74654,0.76692,0.80327,0.39895,0.8179,0.72682,0.79885,0.28428,1.59206,1.46063,1.05597,1.15866,0,0.00196549,0.00196549,0.00196549
53,2356.09,1.50842,1.50479,1.09919,1.06008,0,0.72712,0.78803,0.79879,0.39631,0.78822,0.75558,0.80961,0.27684,1.57596,1.44898,1.10205,1.12972,0,0.00196425,0.00196425,0.00196425
